Date,Open,High,Low,Close*,Adj Close**,Volume
"Aug 14, 2024",220.57,223.03,219.7,221.72,221.72,"41,888,500"
"Aug 13, 2024",219.01,221.89,219.01,221.27,221.27,"44,155,300"
"Aug 12, 2024",216.07,219.51,215.6,217.53,217.53,"38,028,100"
"Aug 09, 2024",212.1,216.78,211.97,216.24,215.99,"42,201,600"
"Aug 08, 2024",213.11,214.2,208.83,213.31,213.06,"47,161,100"
"Aug 07, 2024",206.9,213.64,206.39,209.82,209.58,"63,516,400"
"Aug 06, 2024",205.3,209.99,201.07,207.23,206.99,"69,660,500"
"Aug 05, 2024",199.09,213.5,196,209.27,209.03,"119,548,600"
"Aug 02, 2024",219.15,225.6,217.71,219.86,219.61,"105,568,600"
"Aug 01, 2024",224.37,224.48,217.02,218.36,218.11,"62,501,000"
"Jul 31, 2024",221.44,223.82,220.63,222.08,221.82,"50,036,300"
"Jul 30, 2024",219.19,220.33,216.12,218.8,218.55,"41,643,800"
"Jul 29, 2024",216.96,219.3,215.75,218.24,217.99,"36,311,800"
"Jul 26, 2024",218.7,219.49,216.01,217.96,217.71,"41,601,300"
"Jul 25, 2024",218.93,220.85,214.62,217.49,217.24,"51,391,200"
"Jul 24, 2024",224,224.8,217.13,218.54,218.29,"61,777,600"
"Jul 23, 2024",224.37,226.94,222.68,225.01,224.75,"39,960,300"
"Jul 22, 2024",227.01,227.78,223.09,223.96,223.7,"48,201,800"
"Jul 19, 2024",224.82,226.8,223.28,224.31,224.05,"49,151,500"
"Jul 18, 2024",230.28,230.44,222.27,224.18,223.92,"66,034,600"
"Jul 17, 2024",229.45,231.46,226.64,228.88,228.62,"57,345,900"
"Jul 16, 2024",235,236.27,232.33,234.82,234.55,"43,234,300"
"Jul 15, 2024",236.48,237.23,233.09,234.4,234.13,"62,631,300"
"Jul 12, 2024",228.92,232.64,228.68,230.54,230.27,"53,046,500"
"Jul 11, 2024",231.39,232.39,225.77,227.57,227.31,"64,710,600"
"Jul 10, 2024",229.3,233.08,229.25,232.98,232.71,"62,627,700"
"Jul 09, 2024",227.93,229.4,226.37,228.68,228.42,"48,076,100"
"Jul 08, 2024",227.09,227.85,223.25,227.82,227.56,"59,085,900"
"Jul 05, 2024",221.65,226.45,221.65,226.34,226.08,"60,412,400"
"Jul 03, 2024",220,221.55,219.03,221.55,221.29,"37,369,800"
"Jul 02, 2024",216.15,220.38,215.1,220.27,220.02,"58,046,200"
"Jul 01, 2024",212.09,217.51,211.92,216.75,216.5,"60,402,900"
"Jun 28, 2024",215.77,216.07,210.3,210.62,210.38,"82,542,700"
"Jun 27, 2024",214.69,215.74,212.35,214.1,213.85,"49,772,700"
"Jun 26, 2024",211.5,214.86,210.64,213.25,213,"66,213,200"
"Jun 25, 2024",209.15,211.38,208.61,209.07,208.83,"56,713,900"
"Jun 24, 2024",207.72,212.7,206.59,208.14,207.9,"80,727,000"
"Jun 21, 2024",210.39,211.89,207.11,207.49,207.25,"246,421,400"
"Jun 20, 2024",213.93,214.24,208.85,209.68,209.44,"86,172,500"
"Jun 18, 2024",217.59,218.63,213,214.29,214.04,"79,943,300"
"Jun 17, 2024",213.37,218.95,212.72,216.67,216.42,"93,728,300"
"Jun 14, 2024",213.85,215.17,211.3,212.49,212.24,"70,122,700"
"Jun 13, 2024",214.74,216.75,211.6,214.24,213.99,"97,862,700"
"Jun 12, 2024",207.37,220.2,206.9,213.07,212.82,"198,134,300"
"Jun 11, 2024",193.65,207.16,193.63,207.15,206.91,"172,373,300"
"Jun 10, 2024",196.9,197.3,192.15,193.12,192.9,"97,262,100"
"Jun 07, 2024",194.65,196.94,194.14,196.89,196.66,"53,103,900"
"Jun 06, 2024",195.69,196.5,194.17,194.48,194.26,"41,181,800"
"Jun 05, 2024",195.4,196.9,194.87,195.87,195.64,"54,156,800"
"Jun 04, 2024",194.64,195.32,193.03,194.35,194.13,"47,471,400"
"Jun 03, 2024",192.9,194.99,192.52,194.03,193.81,"50,080,500"
"May 31, 2024",191.44,192.57,189.91,192.25,192.03,"75,158,300"
"May 30, 2024",190.76,192.18,190.63,191.29,191.07,"49,947,900"
"May 29, 2024",189.61,192.25,189.51,190.29,190.07,"53,068,000"
"May 28, 2024",191.51,193,189.1,189.99,189.77,"52,280,100"
"May 24, 2024",188.82,190.58,188.04,189.98,189.76,"36,294,600"
"May 23, 2024",190.98,191,186.63,186.88,186.66,"51,005,900"
"May 22, 2024",192.27,192.82,190.27,190.9,190.68,"34,648,500"
"May 21, 2024",191.09,192.73,190.92,192.35,192.13,"42,309,400"
"May 20, 2024",189.33,191.92,189.01,191.04,190.82,"44,361,300"
"May 17, 2024",189.51,190.81,189.18,189.87,189.65,"41,282,900"
"May 16, 2024",190.47,191.1,189.66,189.84,189.62,"52,845,200"
"May 15, 2024",187.91,190.65,187.37,189.72,189.5,"70,400,000"
"May 14, 2024",187.51,188.3,186.29,187.43,187.21,"52,393,600"
"May 13, 2024",185.44,187.1,184.62,186.28,186.06,"72,044,800"
"May 10, 2024",184.9,185.09,182.13,183.05,182.84,"50,759,500"
"May 09, 2024",182.56,184.66,182.11,184.57,184.11,"48,983,000"
"May 08, 2024",182.85,183.07,181.45,182.74,182.28,"45,057,100"
"May 07, 2024",183.45,184.9,181.32,182.4,181.94,"77,305,800"
"May 06, 2024",182.35,184.2,180.42,181.71,181.25,"78,569,700"
"May 03, 2024",186.65,187,182.66,183.38,182.92,"163,224,100"
"May 02, 2024",172.51,173.42,170.89,173.03,172.6,"94,214,900"
"May 01, 2024",169.58,172.71,169.11,169.3,168.88,"50,383,100"
"Apr 30, 2024",173.33,174.99,170,170.33,169.9,"65,934,800"
"Apr 29, 2024",173.37,176.03,173.1,173.5,173.06,"68,169,400"
"Apr 26, 2024",169.88,171.34,169.18,169.3,168.88,"44,838,400"
"Apr 25, 2024",169.53,170.61,168.15,169.89,169.46,"50,558,300"
"Apr 24, 2024",166.54,169.3,166.21,169.02,168.6,"48,251,800"
"Apr 23, 2024",165.35,167.05,164.92,166.9,166.48,"49,537,800"
"Apr 22, 2024",165.52,167.26,164.77,165.84,165.42,"48,116,400"
"Apr 19, 2024",166.21,166.4,164.08,165,164.59,"67,772,100"
"Apr 18, 2024",168.03,168.64,166.55,167.04,166.62,"43,122,900"
"Apr 17, 2024",169.61,170.65,168,168,167.58,"50,901,200"
"Apr 16, 2024",171.75,173.76,168.27,169.38,168.96,"73,711,200"
"Apr 15, 2024",175.36,176.63,172.5,172.69,172.26,"73,531,800"
"Apr 12, 2024",174.26,178.36,174.21,176.55,176.11,"101,593,300"
"Apr 11, 2024",168.34,175.46,168.16,175.04,174.6,"91,070,300"
"Apr 10, 2024",168.8,169.09,167.11,167.78,167.36,"49,709,300"
"Apr 09, 2024",168.7,170.08,168.35,169.67,169.24,"42,451,200"
"Apr 08, 2024",169.03,169.2,168.24,168.45,168.03,"37,425,500"
"Apr 05, 2024",169.59,170.39,168.95,169.58,169.15,"42,055,200"
"Apr 04, 2024",170.29,171.92,168.82,168.82,168.4,"53,704,400"
"Apr 03, 2024",168.79,170.68,168.58,169.65,169.22,"47,691,700"
"Apr 02, 2024",169.08,169.34,168.23,168.84,168.42,"49,329,500"
"Apr 01, 2024",171.19,171.25,169.48,170.03,169.6,"46,240,500"
"Mar 28, 2024",171.75,172.23,170.51,171.48,171.05,"65,672,700"
"Mar 27, 2024",170.41,173.6,170.11,173.31,172.88,"60,273,300"
"Mar 26, 2024",170,171.42,169.58,169.71,169.28,"57,388,400"
"Mar 25, 2024",170.57,171.94,169.45,170.85,170.42,"54,288,300"
"Mar 22, 2024",171.76,173.05,170.06,172.28,171.85,"71,106,600"
"Mar 21, 2024",177.05,177.49,170.84,171.37,170.94,"106,181,300"
"Mar 20, 2024",175.72,178.67,175.09,178.67,178.22,"53,423,100"
"Mar 19, 2024",174.34,176.61,173.03,176.08,175.64,"55,215,200"
"Mar 18, 2024",175.57,177.71,173.52,173.72,173.28,"75,604,200"
"Mar 15, 2024",171.17,172.62,170.29,172.62,172.19,"121,664,700"
"Mar 14, 2024",172.91,174.31,172.05,173,172.57,"72,913,500"
"Mar 13, 2024",172.77,173.19,170.76,171.13,170.7,"52,488,700"
"Mar 12, 2024",173.15,174.03,171.01,173.23,172.8,"59,825,400"
